Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
장하늘 2014 (Group S),,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,Scan sampling every fifteen minutes; continuous focal animal sampling,,,2013-2014,-6.42,,1025.00,4527,,,,1133.57,39.20,,,1,5,12,298.25,,,,,,,,,,,,,,,,,,,,,,,,,
"장하늘 2014 (Groups A,B,S)",,Hylobates,H. moloch,"Citalahab, Cikaniki, Gunung Halimun Salak, Java",,Scan sampling every fifteen minutes; continuous focal animal sampling,,,2013-2014,-6.42,,1025.00,4527,,,,1133.57,38.10,,,3,12,12,1159.5,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim et al. 2012, 2011 (Groups A,B,D)",,Hylobates,H. moloch,"Citalahab, Gunung Halimun Salak, Java",,,,,2008-2009,-6.42,,1025.00,4405.00,,,,1133.57,36.63,12.16,3.80,3,10,12,1455.0,68,,25,,29.10,33.40,62.50,24.60,11.80,1.2,,,,,,,,,,,,,,,
Prastyono 1999,Bachelors,Hylobates,H. moloch,"Pasir Bivak, Gunung Halimun Salak, Java",,,,,1999,-6.39,,875,5000,,,,,,,,1,4,2,48,21,18,15,2,,,,,,,,,,,,,,,,,,,,,
Ario 2011b; Alhamd & Rahajoe 2013; Ario et al. 2011,,Hylobates,H. moloch,"Bodogol, Gunung Gede Pangrango, Java",,,,,2000-2007,-6.33,,1100,3746.4,,,,219.75,14.70,13.50,6.80,8,34,76,,86,59,40,2,,,,,,,,,,,,,,,,,,,,,
Nurcahyo 2009; Lappan 2005,,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,,,,1998-2000,-5.39,,50.00,3500.00,,,,2568,20.30,12.87,3.30,,,12,,162,,,49,38.00,25.00,62.50,25.00,12.00,0.10,0.10,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Group A)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2000-2002,-5.39,,50.00,3408.00,,,,2568,16.74,17.75,5.00,1,4,22,534.0,,,,,42.60,19.90,62.50,27.00,10.50,0.00,0,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Group B)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2000-2002,-5.39,,50.00,3408.00,,,,2568,21.49,17.75,5.00,1,6,23,711.0,,,,,41.50,14.20,55.70,36.60,7.60,0.00,0,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Group C)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2000-2002,-5.39,,50.00,3408.00,,,,2568,20.71,17.75,5.00,1,6,22,716.0,,,,,41.70,14.80,56.50,31.40,12.20,0.00,0,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Groups ABCFG)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2000-2002,-5.39,,50.00,3408.00,,,,2568,19.50,17.75,5.00,5,25,23,2837.0,75,,,,34.60,21.10,55.70,31.80,12.60,0.00,0,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Group F)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2001-2002,-5.39,,50.00,3408.00,,,,2568,14.11,17.75,5.00,1,5,19,476.0,,,,,18.50,32.50,51.00,35.10,13.90,0.00,0,,,,,,,,,,,,,,
"Lappan 2005; 2009a,b; O'Brien et al. 2004 (Group G)",,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Instantaneous focal sampling every five minutes,,,2001-2002,-5.39,,50.00,3408.00,,,,2568,9.03,17.75,5.00,1,4,16,400.0,,,,,28.50,23.90,52.40,28.90,18.80,0.00,0,,,,,,,,,,,,,,
Elder 2013,,Hylobates,H. agilis,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,24.00,1.40,0.48,2,5,12,934.0,69,54,32,12,51.00,18.00,69.00,20.00,9.00,1.00,1,,,,,,,,,,,,,,
Elder 2013,,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,23.00,18.13,4.90,4,22,12,1437.0,93,68,38,15,40.00,27.00,67.00,24.00,9.00,0.00,0,,,,,,,,,,,,,,
Elder 2013 (Group 2),,Hylobates,H. agilis,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,25.00,1.40,0.48,1,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder 2013 (Group 3),,Hylobates,H. agilis,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,25.00,1.40,0.48,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder 2013 (Group A),,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,30.00,18.13,4.90,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder 2013 (Group E),,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,27.00,18.13,4.90,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder 2013 (Group J),,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,20.00,18.13,4.90,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder 2013 (Group M),,Symphalangus,S. syndactylus,"Way Canguk, Bukit Barisan Selatan, Sumatra",,Continuous focal sampling one hour sessions,,,2008-2009,-5.39,,50.00,3354.00,,,,3568,15.00,18.13,4.90,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Atmanto et al. 2014; Kentjonowati & New 2005,,Symphalangus,S. syndactylus,"Way Kanan, Way Kambas, Lampung",,,,,2012,-5.06,,,,,,,1256.31,,,,,,1,,15,15,14,,,,,,,,,,,,,,,,,,,,,,
