Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
Zhou 2008 (Group A),,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,2002-2007,19.05,,1000.00,1657.00,,,,299.98,987.00,0.72,0.13,1,9,62,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu 2015 (Groups A,B,C)",,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,2002-2014,19.05,,1043.50,1657.00,,,,299.98,,,,3,18,144,,128,84,50,2,74.07,10.37,84.44,11.85,3.71,,,,,,,,,,,,,,,,
Zhou 2008,,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,2002-2007,19.06,,1000.00,1657.00,,,,299.98,785.50,0.72,0.13,2,15,62,548.5,119,77,49,,,,85.67,13.00,3.43,,,,,,,,,,,,,,,,
"Liu & Tan 1990, Liu et al. 1989 (Group A); Liu 2015",,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,1984-1985,19.06,,1160.00,1620.00,,,,40,500.00,0.53,0.10,1,7,24,,119,62,32,,,,,,,,,,,,,,,,,,,,,,
Lin et al. 2006a; b (Group B),,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,,19.07,,950.00,1751.10,,,,299.98,,,,1,5,,,79,59,39,,,,,,,,,,,,,,,,,,,,,,
Zhou 2008 (Group B),,Nomascus,N. hainanus,"Bawangling, Hainan Island",Hainan Island monsoon rainforest,,,,2002-2007,19.07,,1000.00,1657.00,,,,299.98,584.00,0.72,0.13,1,6,62,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwannakerd & Aggimarangsee 2001; Chitkament et al. 2015,,Hylobates,H. lar,"Tham Nam Lod, Mae Hong Son, Thailand",,,,,2000,19.34,,640.00,1300.00,,,,12.65,,5.3,1,1,3,12,,,,,,38.00,25.00,63.00,19.00,10.00,8.00,6,,,,,,,,,,,,,,
Yimkao & Srikosamatara 2006 (Group G1),,Hylobates,H. lar,"Muang Phaem, Mae Hong Son, Thailand",,Scan sampling every ten minutes,,,2004-2005,19.35,,825.00,1598.00,,,,12,61.00,5.30,1.00,1,5,13,636.0,51,37,24,9,,,,,,,,,,,,,,,,,,,,,
Hu et al. 1989; 1990,,Nomascus,N. leucogenys,"Xishuangbanna, Yunnan",,,,,1984-1988,21.34,,1244.00,1550.80,,,,1978,,6.30,1.67,2,9,48,893,76,43,31,1,,,38.63,52.81,4.67,3.89,3.89,,,,,,,,,,,,,,
"Ni et al. 2014, 2017",,Nomascus,N. concolor,"Bajiaohe, Ailaoshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every three minutes,"""We recorded activity as moving, resting, feeding, singing
and other (Table 1). Feeding comprised picking, chewing,
or swallowing food. During feeding bouts, we recorded the
food species and specific part eaten (tree fruit, liana fruit,
leaves and buds, flower, animals) (Ni et al. 2014). We
defined singing as solo or duet songs produced in response
to songs of the neighboring group or without any recognizable
external stimulus, while alarm calling was classified
as vocal notes uttered by the gibbons due to
identifiable disturbances...All other behaviors. Included conflict activity between groups, social behavior (grooming, playing), and alarm calling (short, sharp
calling such as ‘‘hoo’’, which takes place when individuals are disturbed)",,2005-2006,22.54,102.58,2025.00,1907.00,22.30,12.50,18.00,0.7,14.00,10.00,2.86,1,3,13,647.0,48,43,29,5,81.40,0.00,81.40,16.50,0.70,1.43,1.33,20.40,32.40,44.60,1.10,0.8,0.60,315.00,9.90,24.90,,,,,
"Ni et al. 2014, 2017",,Nomascus,N. concolor,"Bajiaohe, Ailaoshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every three minutes,"""We recorded activity as moving, resting, feeding, singing
and other (Table 1). Feeding comprised picking, chewing,
or swallowing food. During feeding bouts, we recorded the
food species and specific part eaten (tree fruit, liana fruit,
leaves and buds, flower, animals) (Ni et al. 2014). We
defined singing as solo or duet songs produced in response
to songs of the neighboring group or without any recognizable
external stimulus, while alarm calling was classified
as vocal notes uttered by the gibbons due to
identifiable disturbances...All other behaviors. Included conflict activity between groups, social behavior (grooming, playing), and alarm calling (short, sharp
calling such as ‘‘hoo’’, which takes place when individuals are disturbed)",,2005-2011,22.54,102.58,2025.00,2046.50,#REF!,#REF!,#REF!,0.7,14.00,7.86,2.86,1,3,27,1233.0,57,50,34,6,79.60,0.00,79.60,16.35,1.70,2.32,2.27,19,32,46.4,1.5,,1.1,,,,,,,,
"Ni et al. 2014, 2017",,Nomascus,N. concolor,"Bajiaohe, Ailaoshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every three minutes,"""We recorded activity as moving, resting, feeding, singing
and other (Table 1). Feeding comprised picking, chewing,
or swallowing food. During feeding bouts, we recorded the
food species and specific part eaten (tree fruit, liana fruit,
leaves and buds, flower, animals) (Ni et al. 2014). We
defined singing as solo or duet songs produced in response
to songs of the neighboring group or without any recognizable
external stimulus, while alarm calling was classified
as vocal notes uttered by the gibbons due to
identifiable disturbances...All other behaviors. Included conflict activity between groups, social behavior (grooming, playing), and alarm calling (short, sharp
calling such as ‘‘hoo’’, which takes place when individuals are disturbed)",,2010-2011,22.54,102.58,2025.00,2186.00,18.80,8.00,14.30,0.7,14.00,5.71,2.86,1,2,14,586.0,45,41,30,6,77.80,0.00,77.80,16.20,2.70,3.20,3.2,19.30,29.20,48.60,2.00,0,0.90,,,,,,,,
Wang 2012,,Nomascus,N. concolor,"Bajiaohe, Ailaoshan, Yunnan",Northern Indochina subtropical forest,,,,2010-2011,22.54,102.58,2025.00,2330.00,,,,0.70,31.50,5.71,2.86,2,4,12,,65,59,36,3,,,70.64,21.99,4.10,3.27,3.27,,,,,,,,,,,,,,
Ahsan 1994,,Hoolock,H. hoolock,"Chunati, Bangladesh",,Scan sampling every ten minutes,,?,1989-1990,22.55,92.03,15.00,2856.00,,,,77.64,25.70,0.26,0.09,1,3,12,384.0,76,50,34,10,42.20,32.60,74.80,10.20,14.20,0.90,0.1,,,,,,,,,,,,,,
Fan et al. 2012; 2010a (G1),,Nomascus,N. nasutus,"Bangliang, Guangxi",,Scan sampling every five minutes,,,2009,22.55,,706.00,1363.00,,,,20,128.00,3.00,0.50,1,6,12,783.0,,,,,25.10,24.00,49.10,34.40,1.10,15.40,13.5,,,,,,,,,,,,,,
Fan et al. 2012; 2010a (G4),,Nomascus,N. nasutus,"Bangliang, Guangxi",,Scan sampling every five minutes,,,2009,22.55,,706.00,1363.00,,,,20,130.00,3.00,0.50,1,8,12,596.0,,,,,41.50,13.40,54.90,35.80,3.70,5.60,4.8,,,,,,,,,,,,,,
Fan et al. 2010b (G1),,Nomascus,N. nasutus,"Bangliang, Guangxi",,,,,2008-2009,22.55,,706.00,1803.80,,,,20,115.20,3.00,0.50,1,6,13,824.0,,,,,30.90,24.30,55.20,34.80,0.90,9.10,9.00,,,,,,,,,,,,,,
Fan et al. 2010b (G2),,Nomascus,N. nasutus,"Bangliang, Guangxi",,,,,2008-2009,22.55,,706.00,1803.80,,,,20,102.40,3.00,0.50,1,6,13,69.0,,,,,21.80,33.10,54.90,42.30,0.70,3.10,3.10,,,,,,,,,,,,,,
Fan et al. 2010b (G4),,Nomascus,N. nasutus,"Bangliang, Guangxi",,,,,2008-2009,22.55,,706.00,1803.80,,,,20,119.10,3.00,0.50,1,9,8,336.0,,,,,49.70,15.40,65.10,29.90,0.00,5.10,4.50,,,,,,,,,,,,,,
Fan et al. 2010b; Zhang 2010 (G1; G4),,Nomascus,N. nasutus,"Bangliang, Guangxi",,,,,2008-2009,22.55,,706.00,1803.80,,,,20,117.20,3.00,0.50,2,15,13,1229.0,58,44,33,6,34.64,20.95,55.59,35.17,0.90,8.37,8.13,,,,,,,,,,,,,,
Fan et al. 2011; 2010a,,Nomascus,N. nasutus,"Bangliang, Guangxi",,,,,2008-2009,22.55,,706.00,1583.50,,,,20,129.00,3.00,0.50,2,14,24,2432.0,75,58,39,6,36.10,21.90,58.00,31.20,3.00,7.70,7,,,,,,,,,,,,,,
Ma et al. 2016 (G1; G4),,Nomascus,N. nasutus,"Bangliang, Guangxi",,Instantaneous focal sampling every five minutes,,,2008-2013,22.55,,706.00,1452.00,,,,20,,3.00,0.50,2,15,72,3299.0,>80,59,40,6,,,,,12.00,,,,,,,,,,,,,,,,
Lan 1993,,Nomascus,N. concolor,"Xiaobahe, Wuliangshan, Yunnan",,,,,1989,24.19,,2230.00,,,,,12.18,,,,1,4,2,11.83,11,11,11,,,,,,,,,,,,,,,,,,,,,,
Lan 2001,,Nomascus,N. concolor,"Xiaobahe, Wuliangshan, Yunnan",,Scan sampling every ten minutes,,,1997-1998,24.19,,2230.00,2257.10,,,,12.18,54.90,2.83,0.53,1,7,22,220.3,34,27,22,,43.72,2.30,46.02,46.91,5.62,1.44,0.14,,,,,,,,,,,,,,
"Hasan et al. 2005, 2007",,Hoolock,H. hoolock,"Lawachara, Bangladesh",,Scan sampling every ten minutes,,,2002-2003,24.2,91.47,15.00,2000.00,,,,12.5,,2.96,0.88,1,3,15,166.0,30,,,,48.00,42.00,90.00,5.00,3.00,2.00,2,,,,,,,,,,,,,,
Ahsan 1994,,Hoolock,H. hoolock,"Lawachara, Bangladesh",,Scan sampling every ten minutes,,,1989-1990,24.2,91.47,22.00,2412.00,,,,18.26,40.70,1.98,0.76,1,4,19,384.0,45,39,29,17,32.30,49.40,81.70,11.80,2.60,3.80,2.9,,,,,,,,,,,,,,
Ahsan 1994,,Hoolock,H. hoolock,"Lawachara, Bangladesh",,Scan sampling every ten minutes,,,1989-1990,24.2,91.47,22.00,2412.00,,,,18.26,86.00,1.98,0.76,1,5,19,384.0,49,41,28,14,36.50,46.20,82.70,8.80,5.60,2.90,1,,,,,,,,,,,,,,
Bleisch & Chen 1991,,Nomascus,N. concolor,"Xiaobahe, Wuliangshan, Yunnan",,,,,1987,24.2,,2300.00,,,,,12.18,,,,,1,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Haimoff et al. 1987,,Nomascus,N. concolor,"Xiaobahe, Wuliangshan, Yunnan",,,,,1985,24.2,,,1875,,,,12.18,,,,1,,3,<0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Fan et al. 2009; 2008; Ni et al. 2014,,Nomascus,N. concolor,"Dazhaizi, Wuliangshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every five minutes,"""We recorded activity as resting, traveling, feeding, calling, playing, and other.
Resting includes any inactive posture (sitting, lying, or hanging); the category
also includes instances of grooming, which always occurred during rest.
Traveling comprises movement (brachiating, climbing, and jumping). Feeding
comprises picking, chewing, or swallowing food. Calling comprises only the duet
calling at the time of the 5-min scan. Playing refers to social play between ≥2
individuals, and includes solo play of the infant when near its mother. We
recorded conflict activity between groups, alarm calling, and unidentified
behavior as other. During feeding bouts, we classified food items as fruit, figs,
leaves (tree leaves and buds, vine leaves and buds, and epiphyte leaves), flowers,
and other ingesta...To avoid overrepresenting the
influence of March and April, which we sampled in both 2005 and 2006, on the
annual mean we first averaged values from the 2 mo and then calculated annual
means from 12 different months""",,2005-2006,24.21,100.42,2290.00,1607.00,19.60,11.80,16.20,245,151.00,4.29,0.67,1,7,14,845.0,69,55,40,7,25.50,18.60,44.10,46.50,9.10,0.30,0.3,34.80,19.80,40,2.6,1.2,1.6,559,13.2,28.8,,,,,
Ni et al. 2014,,Nomascus,N. concolor,"Dazhaizi, Wuliangshan, Yunnan",Northern Indochina subtropical forest,,,,2005-2009,24.21,100.42,2290.00,1625.00,,,16.85,245.00,157.00,4.288,0.67,1,7,26,1600.0,83,64,45,,31.40,15.70,47.10,44.65,7.05,1.25,0.3,31.60,23.80,35.85,2.70,5.00,1.05,,,,,,,,
"Ni et al. 2014, 2017; Huang et al. 2013",,Nomascus,N. concolor,"Dazhaizi, Wuliangshan, Yunnan",Northern Indochina subtropical forest,,,,2008-2009,24.21,100.42,2290.00,1644.00,,,17.50,245,163.00,4.29,0.67,1,7,12,755.0,83,64,45,?,37.30,12.80,50.10,42.80,5.00,2.20,,28.40,27.80,31.70,2.80,8.8,0.50,,,,,,,,
Sheeran 1993,,Nomascus,N. concolor,"Wuliangshan, Yunnan",,,,,1990,24.21,,2550.00,1850,,,,245,,,,4,20,9,48.87,11,9,8,,,,,,,,,,,,,,,,,,,,,,
Islam & Feeroz 1992,,Hoolock,H. hoolock,"Lawachara, Bangladesh",,Scan sampling every ten minutes,,,1990-1991,24.31,91.38,17.50,2000.00,,,,12,35.00,1.58,0.58,1,3,12,382.0,32,23,21,3,51.00,38.00,89.00,6.00,5.00,0.00,0,,,,,,,,,,,,,,
Feeroz 2011,,Hoolock,H. hoolock,"West Bhanugach Forest Reserve, Sylhet, Bangladesh",,Scan sampling every fifteen minutes,,,1996-1997,24.32,91.47,22.00,2000.00,32.20,11.70,,27.38,34.40,1.2,0.37,10,31,18,895.3,61,,,,46.30,40.30,86.60,5.10,4.40,3.90,1.8,,,,,,,,,,,,,,
Haimoff et al. 1987; Young et al. 1992; Lan 2001,,Nomascus,N. concolor,"Xujiaba, Ailaoshan, Yunnan",Northern Indochina subtropical forest,,,,1985,24.32,,2460.00,1875,,,,333.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam 2016; Islam et al. 2014,,Hoolock,H. hoolock,"Inner Line Reserve Forest, Cachar, Assam",,,,,2011-2012,24.34,92.47,120,2650,,,,190.32,55.00,0.83,0.26,1,4,12,1008,55,43,31,,28.18,32.34,60.52,24.28,12.3,2.91,2.91,,,,,,,,,,,,,,
Fan et al. 2013; Yin et al. 2016,,Hoolock,H. tianxing,"Nankang, Gaoligongshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every five minutes,,,2010-2011,24.49,98.46,2190.00,1801.00,,,,1276.23,,0.30,0.08,1.5,4,14,1317.0,62,52,35,4,,,,,,,,,,,,,,,,,,,,,
Fan et al. 2013; Zhang et al. 2013; Yin et al. 2016,,Hoolock,H. tianxing,"Nankang, Gaoligongshan, Yunnan",Northern Indochina subtropical forest,Scan sampling every five minutes,,MCP,2010-2011,24.49,98.46,2190.00,1801.00,,,,1276.23,88.10,0.30,0.08,1,3,14,853.0,57,50,35,4,35.60,13.50,49.10,43.30,1.80,5.90,5.3,,,,,,,,,,,,,,
Li et al. 2011,,Hoolock,H. tianxing,"Nankang, Gaoligongshan, Yunnan",Northern Indochina subtropical forest,,,,2009,24.495,98.46,,,,,,1276.23,,,,1,3,9,176.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu et al. 2009, 2010",,Hoolock,H. tianxing,"Nankang, Gaoligongshan, Yunnan",Northern Indochina subtropical forest,Continuous focal sampling ,,,2007-2009,24.5,98.46,1900.00,2300.00,,,,1276.23,,0.30,0.08,1,2,34,504.5,43,38,27,1,,,71.13,26.74,1.15,1.89,0.1,,,,,,,,,,,,,,
Yuan et al. 2014; Fan et al. ,,Hoolock,H. tianxing,"Banchang, Gaoligongshan, Yunnan",Nujiang-Langcang Gorge alpine conifer and mixed forest,,,,2012-2013,25.12,98.46,2350.00,1462.10,,,,,150.00,2.00,0.50,3,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Bai 2008,,Hoolock,H. tianxing,"Datang, Gaoligongshan, Yunnan",,,,,2007,25.44,,2179.00,,,,,1276.23,,,,2,4,2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
McCann 1933; Baldwin & Teleki 1974,,Hoolock,H. hoolock,"Changchang Pani, Nagaland",Mizoram-Manipur-Kachin rainforest,,,,1930,26.35,94.27,500.00,,,,,,,,,,>30,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Borah et al. 2015 (Group 1),,Hoolock,H. hoolock,"Hollongapar, Assam",,Scan sampling every five minutes; continuous focal animal sampling,,,2011,26.42,94.22,110.00,1776.70,29.00,15.00,,20.98,,4.81,1.19,1,2,12,660.0,,,,,,,,,,,,,,,,,,,,,,,,,
Borah et al. 2015 (Group 2),,Hoolock,H. hoolock,"Hollongapar, Assam",,Scan sampling every five minutes; continuous focal animal sampling,,,2011,26.42,94.22,110.00,1776.70,29.00,15.00,,20.98,,4.81,1.19,1,4,12,660.0,,,,,,,,,,,,,,,,,,,,,,,,,
Borah et al. 2015 (Groups 1 and 2),,Hoolock,H. hoolock,"Hollongapar, Assam",,Scan sampling every five minutes; continuous focal animal sampling,,,2011,26.42,94.22,110.00,1776.70,29.00,15.00,,20.98,,4.81,1.19,2,6,12,1320.0,54,41,32,,25.07,26.07,51.14,37.75,1.38,9.73,9.73,,,,,,,,,,,,,,
Barua & Gogoi 2012,,Hoolock,H. hoolock,"Hollongapar, Assam",,,,,2005-2008,26.42,94.22,110.00,2490.00,,,,20.98,,4.81,1.19,,,36,,38,29,20,,,,,,,,,,,,,,,,,,,,,,
Tilson 1979,,Hoolock,H. hoolock,"Hollongapar, Assam",,Scan sampling every minute during feeding events,,,1971-1973,26.42,94.2,119.00,2490.00,,,,19,22.00,3.00,0.88,3,7,22,756.0,42,29,19,,,,67.00,32.00,,1.00,1,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Jeypore 1, Assam",,Scan sampling every five minutes,,,2001-2002,27.11,95.25,305.00,2138.00,,,,108,24.25,12.50,3.38,1,5,12,809.8,63,52,36,25,49.50,7.60,57.20,26.40,6.90,7.40,7.4,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Jeypore 2, Assam",,Scan sampling every five minutes,,,2001-2002,27.11,95.25,305.00,2138.00,,,,108,28.75,12.50,3.38,1,5,12,813.3,55,47,31,10,38.00,17.90,55.90,33.60,6.90,2.80,2.8,,,,,,,,,,,,,,
Das et al. 2009,,Hoolock,H. hoolock,"Borajan, Assam",,,,,1998-2000,27.24,,127.50,,,,,4.93,,2.16,1.01,2,6,27,,,,,,,,9.00,40.00,,,,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Borajan, Assam",,Scan sampling every five minutes,,,2001-2002,27.26,95.21,127.50,2138.00,,,,5.05,16.25,2.45,0.62,1,3,12,426.7,46,35,28,7,32.60,13.70,46.30,46.60,0.80,4.90,4.9,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Buridehing, Assam",,Scan sampling every five minutes,,,2001-2002,27.27,95.47,162.50,2138.00,,,,22.95,13.00,6.86,2.11,1,5,12,897.6,35,29,23,7,41.30,21.10,62.40,26.70,7.20,3.50,3.5,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Kakojan, Assam",,Scan sampling every five minutes,,,2001-2002,27.29,95.39,145.00,2138.00,,,,23.47,24.00,11.19,3.25,1,3,12,634.4,60,48,30,12,44.90,12.60,57.40,32.70,2.40,6.70,6.7,,,,,,,,,,,,,,
Kakati 2004,,Hoolock,H. hoolock,"Tokoni, Assam",,Scan sampling every five minutes,,,2001-2002,27.3,95.36,145.00,2138.00,,,,5.02,47.75,0.97,0.49,1,2,12,372.2,27,21,16,6,47.60,21.20,68.80,12.30,7.90,10.50,10.5,,,,,,,,,,,,,,
Das et al. 2009; Kumar et al. 2009,,Hoolock,H. hoolock,"Namdapha, Assam",,,,,1998-2000,27.31,96.37,475.00,1950.00,,,,1985.2,,2.44,0.74,2,,27,,176,,,,,,62.00,29.00,,,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015; Sarma & Kumar 2016 (Group A),,Hoolock,H. leuconedys,"Horupahar, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.02,95.52,205.00,4356.60,,,,2.32,1.09,6.47,2.16,1,3,12,259.8,,,,,4.25,59.48,63.73,22.66,0.00,13.62,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015; Sarma et al. 2013; Sarma & Kumar 2016 (Group B),,Hoolock,H. leuconedys,"Delo, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.02,95.52,230.00,4356.60,,,,4.24,2.49,2.36,1.42,1,3,12,198.6,,,,,9.91,16.70,26.61,59.48,0.00,13.91,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015 (Group C),,Hoolock,H. leuconedys,"Unprotected forest, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.02,95.52,290.50,4356.60,,,,5.378,,3.38,0.63,1,4,12,176.6,,,,,2.64,51.66,54.30,38.89,0.00,6.81,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015 (non-protected forest groups),,Hoolock,H. leuconedys,"Unprotected forest, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.02,95.52,290.50,4356.60,,,,3.78,1.79,3.47,0.84,3,10,12,634.9,28,22,16,,5.39,43.25,48.64,40.24,0.00,11.12,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015 (non-protected forest groups),,Hoolock,H. leuconedys,"Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal animal sampling every five minutes,,,2010-2013,28.04,95.52,938.70,4356.00,,,,292.84,11.12,3.45,1.10,5,15,12,1044.4,43,31,19,,13.53,36.79,50.32,36.88,2.61,10.19,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015; Sarma & Kumar 2016 (Group D),,Hoolock,H. leuconedys,"Mehao, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.05,95.54,1984.00,4356.60,,,,281.5,24.62,3.39,1.08,1,2,11,208.3,,,,,24.65,29.92,54.57,30.86,6.48,8.09,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015; Sarma & Kumar 2016 (Group E),,Hoolock,H. leuconedys,"Mehao, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.05,95.52,1984.00,4356.60,,,,281.5,16.28,3.39,1.08,1,3,11,201.2,,,,,26.21,26.20,52.41,32.51,6.57,8.52,,,,,,,,,,,,,,,
Sarma 2015; Sarma et al. 2015; Sarma & Kumar 2016 (protected forest groups),,Hoolock,H. leuconedys,"Mehao, Lower Dibang Valley, Arunachal Pradesh",,Instantaneous focal sampling every five minutes,,,2012,28.05,95.53,1984.00,4356.60,,,,281.5,20.45,3.39,1.08,2,5,11,409.5,37,28,17,,25.36,28.23,53.59,31.61,6.52,8.29,,,,,,,,,,,,,,,
Bai 2008,,Hoolock,H. tianxing,"Nankang, Gaoligongshan, Yunnan",,,,,2006,,,2173.00,,,,,1276.23,,,,1,3,9,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
Islam et al. 2006,,Hoolock,H. hoolock,"Karnafuli, Kaptai, Rangamati, Bangladesh",,,,,,,,,,,,,2356.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtin & Chivers 1978,,Symphalangus,S. syndactylus,"Kuala Lompat, Krau Reserve, Pahang",,,,,1969-1970,,,,,,,,500.00,,,,1,5,14,1707,,,,,,,,,,,,,,,,,,,,,,,,,
BTNG 2010,,Hylobates,H. moloch,"Selabintana, Gunung Gede Pangrango, Java",,,,,2002,,,,,,,,,,0.50,,7,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,37.429,28.286,20.571,2.167,40.000,23.500,63.600,25.650,4.000,6.500,6.500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,91.67,36.25,26.92,0.33,8.00,0.50,5.12,80.65,0.00,40.50,40.50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,7,7,7,6,2,2,2,2,2,2,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,40.24642857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,29,,,,hoolock, 2-51, 8-60, 9-90, 5-60, 0-14, 0-14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,nomascus, 2-81, 0-41, 30-86, 10-69, 0-14, 0-15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,symphalangus, 10-43, 14-43, 36-67, 15-50, 0-19, 0-28,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,hylobates, 11-67, 0-75, 8-90, 2-49, 0-43, 0-29,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
